Date,Time,Open,High,Low,Close,Volume
2021.01.04,0:00,944.91,1163.58,880.09,1006.86,480722
2021.01.05,0:00,1003.46,1133.03,971.83,1082.98,355390
2021.01.06,0:00,1090.78,1212.51,1057.33,1181.55,374656
2021.01.07,0:00,1185.06,1290.47,1142.87,1252.95,364024
2021.01.08,0:00,1247.26,1275.08,1060.23,1182.57,324078
2021.01.11,0:00,1269.24,1288.29,906.2,1030.24,339866
2021.01.12,0:00,1023.29,1150.45,1005.38,1076.28,310328
2021.01.13,0:00,1081.15,1126.26,983.5,1124.56,258546
2021.01.14,0:00,1128.11,1245.62,1084.62,1184.8,292618
2021.01.15,0:00,1183.8,1254.26,1064.12,1158.04,330974
2021.01.18,0:00,1267.94,1267.94,1180.98,1233.36,241461
2021.01.19,0:00,1229.64,1438.77,1229.64,1408.97,299312
2021.01.20,0:00,1416.42,1423.79,1232.99,1322.63,325630
2021.01.21,0:00,1323.58,1389.43,1159.99,1167.78,327361
2021.01.22,0:00,1158.38,1231.71,1036.75,1229.55,242243
2021.01.25,0:00,1419.85,1444.06,1310.25,1345.08,202547
2021.01.26,0:00,1330.13,1377.95,1243.19,1333.19,444829
2021.01.27,0:00,1331.52,1374.29,1204.76,1274.29,377457
2021.01.28,0:00,1265.4,1358.36,1217.35,1349.47,402876
2021.01.29,0:00,1349.19,1440.84,1285,1372.49,444623
2021.02.01,0:00,1301.33,1351.72,1269.39,1349.2,414911
2021.02.02,0:00,1341.73,1539.09,1341.73,1518.16,449744
2021.02.03,0:00,1520.38,1652.16,1507.27,1632.29,440581
2021.02.04,0:00,1627.65,1697.93,1554.52,1640.33,461339
2021.02.05,0:00,1638.71,1761.72,1587.99,1719.43,435164
2021.02.08,0:00,1595.65,1778.05,1564.78,1696.51,425557
2021.02.09,0:00,1700.39,1823.5,1694.32,1768.42,435146
2021.02.10,0:00,1756.68,1838.31,1677.73,1726.34,431007
2021.02.11,0:00,1720.52,1818.96,1702.81,1767.41,307538
2021.02.12,0:00,1766.07,1863.26,1739.24,1857.61,292320
2021.02.15,0:00,1826.7,1836.31,1653.9,1785.19,286324
2021.02.16,0:00,1777.14,1826.21,1721.38,1752.65,296232
2021.02.17,0:00,1751.29,1855.48,1732.25,1854.85,294039
2021.02.18,0:00,1849.35,1951.01,1830.02,1945.2,295136
2021.02.19,0:00,1940.64,1975.59,1889.05,1956.55,293266
2021.02.22,0:00,1923.7,1940.46,1501.37,1799,350866
2021.02.23,0:00,1800,1801.78,1350,1528,451838
2021.02.24,0:00,1525.62,1712.93,1497.16,1588.44,288711
2021.02.25,0:00,1568.75,1670.35,1520.65,1521.07,381214
2021.02.26,0:00,1510.72,1562.38,1397.12,1441.65,437873
2021.03.01,0:00,1416.98,1565.01,1396.31,1545.27,369948
2021.03.02,0:00,1535.26,1603.71,1531.25,1560.51,232700
2021.03.04,0:00,1546.87,1601.57,1502.91,1516.03,237648
2021.03.05,0:00,1515.1,1547.38,1440.92,1535.23,460780
2021.03.08,0:00,1663.63,1793.81,1662.24,1790,457010
2021.03.09,0:00,1779.4,1858.53,1770.81,1824.23,411389
2021.03.10,0:00,1825.68,1877.36,1755.83,1814.6,417979
2021.03.11,0:00,1810.32,1843.09,1723.15,1838.54,413290
2021.03.12,0:00,1838.6,1843.68,1720,1754.4,470453
2021.03.15,0:00,1876.6,1893.23,1730.45,1791.48,487972
2021.03.16,0:00,1793.68,1818.13,1710,1796.69,485662
2021.03.17,0:00,1796.7,1839.58,1743,1813.92,414357
2021.03.18,0:00,1814.2,1849.09,1756.72,1771.14,399511
2021.03.19,0:00,1771.6,1839.47,1730.98,1815.51,322367
2021.03.22,0:00,1802.94,1810.92,1673.43,1675.61,355985
2021.03.23,0:00,1681.19,1721.14,1650.71,1670.5,406551
2021.03.24,0:00,1671.84,1739.75,1577.51,1608.76,518853
2021.03.25,0:00,1598.39,1621.86,1542.2,1602.32,504183
2021.03.26,0:00,1605.24,1675.46,1576.2,1666.6,385123
2021.03.29,0:00,1666.7,1840.2,1663.72,1806.17,271446
2021.03.30,0:00,1809.4,1859.25,1784.47,1840.56,259446
2021.03.31,0:00,1840.56,1940.11,1768.58,1939.44,305830
2021.04.01,0:00,1931.6,1982,1881.02,1969.41,355036
2021.04.02,0:00,1967.8,2104.01,1946.87,2088.29,313641
2021.04.05,0:00,2059.22,2129.13,2003,2103.44,352778
2021.04.06,0:00,2109.7,2150.44,2041.88,2120.19,442647
2021.04.07,0:00,2115.72,2128.28,1928.22,1982.72,512718
2021.04.08,0:00,1975.96,2077.97,1945.94,2053.29,437773
2021.04.09,0:00,2049.65,2100.4,2041.75,2068.8,363116
2021.04.12,0:00,2136.01,2198.75,2102,2144.17,407951
2021.04.13,0:00,2146.19,2316.44,2134.17,2301.11,443093
2021.04.14,0:00,2289.16,2401.34,2266.13,2367.74,511185
2021.04.15,0:00,2371.45,2502.21,2371.45,2499.91,451491
2021.04.16,0:00,2493.6,2548.25,2305.1,2457.28,552510
2021.04.19,0:00,2219.2,2282.71,2077.6,2207.03,497949
2021.04.20,0:00,2199.03,2334.94,2051,2305.99,512819
2021.04.21,0:00,2309.09,2467.89,2237.1,2402.26,458815
2021.04.22,0:00,2402.8,2644.34,2313.14,2386.36,510097
2021.04.23,0:00,2357.76,2447.97,2105,2321.92,569832
2021.04.26,0:00,2208.9,2532.52,2167.71,2457.17,531067
2021.04.27,0:00,2435.39,2682.01,2428.47,2646.43,439969
2021.04.28,0:00,2629,2751.03,2560.5,2705.2,547402
2021.04.29,0:00,2698.13,2800.54,2669.27,2706.96,495940
2021.04.30,0:00,2702.59,2800.16,2701.39,2759.66,478204
2021.05.03,0:00,2968.05,3340.94,2927.49,3284.07,532986
2021.05.04,0:00,3292.39,3529.68,3162.34,3396.67,616051
2021.05.05,0:00,3353.58,3490.64,3203.85,3455.28,612714
