Date,Time,Open,High,Low,Close,Volume
2017.08.31,0:00,5946.8,5994.92,5938.8,5992.55,29869
2017.09.01,0:00,5990.68,6016.92,5970.8,5984.3,37188
2017.09.04,0:00,5953.3,5978.92,5943.42,5975.8,18439
2017.09.05,0:00,5972.18,5981.42,5886.55,5937.68,61904
2017.09.06,0:00,5939.05,5963.12,5906.05,5949.12,53414
2017.09.07,0:00,5948.62,5978.88,5929,5966.62,51628
2017.09.08,0:00,5966.5,5969,5905.25,5913,39156
2017.09.11,0:00,5925.75,5989.88,5925.75,5981.88,32528
2017.09.12,0:00,5978.88,6001.38,5964.88,5996.88,42303
2017.09.13,0:00,5995.75,6001.88,5973.12,6000.38,32480
2017.09.14,0:00,5996.38,5998.5,5959.38,5961.12,29632
2017.09.15,0:00,5961.38,6010.62,5938.25,5989.5,36337
2017.09.18,0:00,5993.32,6012.45,5962.08,5982.08,30059
2017.09.19,0:00,5983.22,5999.22,5969.6,5987.85,32550
2017.09.20,0:00,5990.1,5994.98,5925.22,5970.85,43779
2017.09.21,0:00,5969.72,5974.35,5913.85,5937.72,39571
2017.09.22,0:00,5937.98,5939.48,5905.48,5928.58,36790
2017.09.25,0:00,5924.58,5947.82,5837.02,5873.4,53947
2017.09.26,0:00,5873.28,5907.28,5857.02,5885.92,44964
2017.09.27,0:00,5884.42,5957.35,5881.42,5931.85,43458
2017.09.28,0:00,5930,5941.88,5905.62,5934.88,39455
2017.09.29,0:00,5934.5,5980.38,5928.75,5973.12,30924
2017.10.02,0:00,5979,6005.12,5954,5980.62,34809
2017.10.03,0:00,5980.25,5999.12,5972.75,5992.38,27858
2017.10.04,0:00,5992.12,6010.38,5973.12,5999.12,29298
2017.10.05,0:00,5999.5,6062.58,5995.38,6057.58,28210
2017.10.06,0:00,6056.98,6066.48,6032.85,6058.42,27804
2017.10.09,0:00,6055.8,6078.05,6049.88,6056.62,24575
2017.10.10,0:00,6057,6083.38,6034.55,6060.05,34490
2017.10.11,0:00,6059.18,6081.62,6048.68,6078.12,27299
2017.10.12,0:00,6078.38,6092.38,6061.88,6068.88,26015
2017.10.13,0:00,6067.5,6099.88,6063.62,6094.62,25661
2017.10.16,0:00,6096.62,6116.88,6093.88,6115.38,23314
2017.10.17,0:00,6115,6122.38,6101.25,6118.12,22089
2017.10.18,0:00,6118.88,6129.62,6105.12,6116.08,22471
2017.10.19,0:00,6117.7,6118.58,6048.58,6095.68,44483
2017.10.20,0:00,6094.55,6126.42,6087.42,6108.5,31427
2017.10.23,0:00,6107.38,6123.5,6059.88,6064.38,29218
2017.10.24,0:00,6063.38,6091.38,6055.88,6072.38,32477
2017.10.25,0:00,6072.25,6086.38,6010.38,6064.88,51264
2017.10.26,0:00,6063.75,6094.62,6034.12,6087.75,47381
2017.10.27,0:00,6090.62,6225.5,6077.62,6215.5,47769
2017.10.30,0:00,6208.38,6250.88,6201.88,6221.12,43479
2017.10.31,0:00,6220.8,6257.38,6218.18,6250.12,28091
2017.11.01,0:00,6248.62,6283.38,6222.42,6233.92,44016
2017.11.02,0:00,6228.3,6261.3,6191.55,6257.68,54050
2017.11.03,0:00,6250.8,6295.92,6234.92,6289.18,36598
2017.11.06,0:00,6283.05,6318.38,6265.92,6313.62,34808
2017.11.07,0:00,6312.12,6331.88,6297.38,6315.38,40461
2017.11.08,0:00,6310.62,6346.42,6302,6340.68,32407
2017.11.09,0:00,6342.35,6351.35,6246.3,6314.3,69355
2017.11.10,0:00,6310,6318.38,6279.38,6306.5,41754
2017.11.13,0:00,6310.02,6323.88,6279.02,6311.12,34217
2017.11.14,0:00,6309.05,6316.92,6261.68,6292.4,40770
2017.11.15,0:00,6288.85,6289.6,6226.48,6258.12,53582
2017.11.16,0:00,6257.5,6352.88,6253.62,6339.12,34654
2017.11.17,0:00,6336.88,6345.62,6306.12,6306.75,39864
2017.11.20,0:00,6305.52,6323.52,6285.65,6311.25,36189
2017.11.21,0:00,6309.78,6380.28,6305.65,6373.9,29721
2017.11.22,0:00,6375.65,6390.12,6369.38,6382,24957
2017.11.23,0:00,6382.62,6392.88,6370.88,6380,10726
2017.11.24,0:00,6379.88,6410.62,6374.38,6409.62,19042
2017.11.27,0:00,6408.38,6420.12,6390.88,6410.12,29914
2017.11.28,0:00,6408.08,6424.78,6384.28,6417.78,34991
2017.11.29,0:00,6417.72,6423.35,6277.92,6298.68,69782
2017.11.30,0:00,6300.72,6372.62,6283.22,6350.75,62407
2017.12.01,0:00,6349.75,6364.38,6242.5,6341.88,94697
2017.12.04,0:00,6366.5,6386.62,6247.12,6256.62,79424
2017.12.05,0:00,6252,6336.62,6229,6265.38,71868
2017.12.06,0:00,6265.62,6302.88,6229.38,6296.12,70643
2017.12.07,0:00,6293.38,6333.5,6284.88,6322,55037
2017.12.08,0:00,6319.75,6376.88,6318.12,6338,35442
2017.12.11,0:00,6339.25,6408,6336.88,6403.88,38893
2017.12.12,0:00,6403.38,6406.38,6371.88,6382.75,41281
2017.12.13,0:00,6384.25,6418,6363.25,6395.62,45732
2017.12.14,0:00,6394.75,6421.62,6381.62,6382.75,46766
2017.12.15,0:00,6383.12,6482.62,6379.88,6481.12,39745
2017.12.18,0:00,6479.75,6521.88,6479.5,6515.12,37566
2017.12.19,0:00,6514.42,6525.42,6459.68,6483.12,37803
2017.12.20,0:00,6483,6508.88,6446.62,6467.75,38565
2017.12.21,0:00,6469.38,6503.12,6458.75,6471.88,36748
2017.12.22,0:00,6472.38,6482,6448.12,6463.38,28742
2017.12.26,0:00,6457.62,6460.88,6410.62,6431.5,22404
2017.12.27,0:00,6432.62,6446.88,6420.12,6431.12,28922
2017.12.28,0:00,6430.12,6456.38,6428.62,6432.62,19486
2017.12.29,0:00,6432.75,6456.62,6372.12,6385.38,28650
2018.01.02,0:00,6393.62,6511.62,6388.12,6503.38,33841
2018.01.03,0:00,6501.62,6580,6499.62,6571.88,30290
2018.01.04,0:00,6571.08,6604.95,6567.32,6593.82,37436
2018.01.05,0:00,6595.2,6658,6587.08,6656.88,31127
2018.01.08,0:00,6656.12,6679.12,6642.38,6677.25,30772
2018.01.09,0:00,6675.52,6696.12,6656.28,6669.12,35095
2018.01.10,0:00,6667.88,6675.12,6617.38,6664.6,48930
2018.01.11,0:00,6663.6,6718.62,6652.48,6713.75,35059
2018.01.12,0:00,6713,6767.38,6693.75,6765,38509
2018.01.15,0:00,6770.62,6788.38,6763.62,6771.62,17236
2018.01.16,0:00,6769.62,6836.12,6718.88,6749.88,65057
2018.01.17,0:00,6751.88,6819.88,6733.88,6804.62,60265
2018.01.18,0:00,6803,6825.62,6781.62,6802.88,59001
2018.01.19,0:00,6803.62,6843.62,6788.62,6833.28,52535
2018.01.22,0:00,6818.15,6928.88,6811.65,6919.12,40461
2018.01.23,0:00,6917.75,6968.12,6908,6947,53425
2018.01.24,0:00,6943.62,6991.38,6877,6922.12,78141
2018.01.25,0:00,6920.88,6975.62,6892.02,6927.65,73910
2018.01.26,0:00,6927.15,7021.75,6923.9,7020.12,52371
2018.01.29,0:00,7019.88,7037,6972.08,6985.95,67626
2018.01.30,0:00,6982.1,6996.98,6893.98,6929.92,96247
2018.01.31,0:00,6928.85,6980.98,6912.25,6918.62,80865
2018.02.01,0:00,6963.62,6978.38,6876.52,6927.65,85780
2018.02.02,0:00,6945.15,6954.65,6744.38,6748,115712
2018.02.05,0:00,6744.88,6806.38,6382.88,6459.62,144384
2018.02.06,0:00,6465.48,6674.62,6253.22,6633.38,194103
2018.02.07,0:00,6635.1,6717.18,6531.68,6545.18,141392
2018.02.08,0:00,6541.55,6617.55,6300.85,6334.35,131700
2018.02.09,0:00,6323.92,6452.75,6161.88,6410.88,157349
2018.02.12,0:00,6433.52,6565.08,6411.15,6523.95,106773
